time_ms,power_pct,weight_g,flow_gps,pressure_bar
124725,60.0,13.50,0.807,5.32
124920,60.0,13.60,0.694,5.07
125025,60.0,13.70,0.759,5.12
125221,60.0,13.70,0.427,5.33
125325,60.0,13.80,0.561,5.12
125431,60.0,13.90,0.656,5.30
125625,60.0,14.00,0.577,5.09
125731,60.0,14.20,0.905,5.15
125925,60.0,14.30,0.749,5.37
126031,60.0,14.30,0.562,5.12
126136,60.0,14.50,0.898,4.96
126331,60.0,14.60,0.766,5.05
126436,60.0,14.70,0.813,5.29
126675,60.0,14.70,0.457,5.30
126855,60.0,15.00,0.759,5.18
127051,60.0,15.00,0.459,5.25
127231,60.0,15.30,1.022,5.56
127350,60.0,15.20,0.557,5.42
130424,62.5,16.10,0.491,6.67
130860,62.5,16.10,0.368,6.81
130966,62.5,16.10,0.276,6.89
131160,62.5,16.10,0.155,0.06
131266,62.5,16.29,0.565,0.00
131371,62.5,16.29,0.423,0.00
131566,62.5,16.20,0.051,0.96
131671,62.5,16.20,0.038,0.76
131866,62.5,16.20,0.000,0.65
131970,62.5,16.20,0.000,1.03
132076,62.5,16.20,0.000,0.91
132270,62.5,16.20,0.000,5.18
132376,62.5,16.20,0.000,4.81
132601,62.5,16.20,0.000,4.37
132780,62.5,16.20,0.000,4.85
132885,62.5,16.20,0.000,6.15
133111,62.5,16.20,0.000,6.10
133276,62.5,16.20,0.000,5.93
133410,62.5,16.20,0.000,6.70
133576,62.5,16.20,0.000,6.66
133681,62.5,16.20,0.000,6.55
133786,62.5,16.40,0.476,6.22
133981,62.5,16.50,0.506,6.27
134085,62.5,16.70,0.860,6.67
134190,62.5,16.70,0.645,6.69
134295,62.5,16.79,0.698,6.62
134401,62.5,16.79,0.524,5.80
134505,62.5,16.90,0.657,6.04
134701,62.5,17.10,0.782,6.60
134806,62.5,17.20,0.824,6.80
134911,62.5,17.29,0.833,6.75
135015,62.5,17.29,0.624,6.52
135211,62.5,17.60,1.054,5.95
135420,62.5,17.70,0.803,6.65
135526,62.5,17.79,0.815,6.74
135720,62.5,18.00,0.928,6.43
135825,62.5,18.00,0.696,6.19
135931,62.5,18.20,0.994,6.45
136095,62.5,18.29,0.882,6.74
136230,62.5,18.40,0.865,6.68
136336,62.5,18.60,1.121,6.45
136501,62.5,18.60,0.841,5.95
136606,62.5,18.79,1.083,6.36
136800,62.5,18.90,0.874,6.65
136906,62.5,19.10,1.127,6.65
137011,62.5,19.10,0.845,6.45
137206,62.5,19.29,0.898,5.91
137311,62.5,19.40,0.935,6.52
137416,62.5,19.50,0.940,6.61
137610,62.5,19.70,1.009,6.50
137716,62.5,19.79,0.969,6.27
137910,62.5,19.90,0.810,6.25
138015,62.5,20.00,0.845,6.50
138225,62.5,20.20,0.892,6.60
138421,62.5,20.40,0.949,6.15
138615,62.5,20.60,0.983,6.29
138721,62.5,20.60,0.737,6.53
138826,62.5,20.70,0.791,6.55
138931,62.5,20.80,0.831,6.49
139126,62.5,21.10,1.125,6.06
139230,62.5,21.20,1.084,6.35
139336,62.5,21.30,1.049,6.57
139441,62.5,21.40,1.025,6.64
139620,62.5,21.50,0.908,6.38
139726,62.5,21.60,0.917,6.15
139845,62.5,21.70,0.898,6.15
140026,62.5,21.90,0.950,6.51
140130,62.5,22.00,0.953,6.34
140236,62.5,22.10,0.950,6.46
140340,62.5,22.10,0.713,5.58
140565,62.5,22.30,0.813,6.20
140745,62.5,22.50,0.888,6.55
140851,62.5,22.60,0.901,6.49
141060,62.5,22.80,0.926,6.06
141166,62.5,22.80,0.694,5.76
141360,62.5,23.00,0.807,6.54
141465,62.5,23.10,0.843,6.61
141646,62.5,23.30,0.887,6.36
141765,62.5,23.40,0.875,6.00
141871,62.5,23.40,0.656,6.18
141975,62.5,23.60,0.973,6.43
142171,62.5,23.70,0.857,6.64
142276,62.5,23.90,1.119,6.48
145425,65.0,24.80,0.911,5.70
145861,65.0,24.80,0.683,5.71
145966,65.0,24.80,0.512,5.72
146071,65.0,24.80,0.384,3.03
146176,65.0,24.80,0.288,0.49
146371,65.0,24.80,0.162,0.00
146476,65.0,24.80,0.122,0.00
146581,65.0,24.80,0.091,2.30
146686,65.0,24.80,0.068,1.93
146911,65.0,24.80,0.038,1.64
147091,65.0,24.80,0.029,2.24
147300,65.0,24.80,0.016,5.07
147406,65.0,24.80,0.012,4.49
