timestamp_ms,pump_power_pct,pressure_bar,pressure_bar_raw
37080,45,6.815,7.185
37130,45,6.962,6.969
37180,45,6.852,5.413
37230,45,6.698,4.887
37280,45,6.840,6.828
37330,45,6.724,5.234
37380,45,6.581,4.869
37430,45,6.576,6.027
37480,45,6.421,4.601
37530,45,6.320,4.962
37580,45,6.549,6.838
37630,45,6.673,6.599
37680,45,6.535,4.864
37730,45,6.406,4.803
37780,45,6.658,7.025
37830,45,6.573,5.352
37880,45,6.450,4.897
37930,45,6.652,6.847
37980,45,6.492,4.634
38030,45,6.384,4.962
38080,45,6.614,6.903
38130,45,6.657,6.308
38180,45,6.517,4.822
38230,45,6.390,4.803
38280,45,6.592,6.791
38330,45,6.519,5.394
38380,45,6.399,4.873
38430,45,6.633,6.941
38480,45,6.460,4.484
38530,45,6.355,4.962
38580,45,6.477,6.397
38630,45,6.434,5.563
38680,45,6.320,4.855
38730,45,6.223,4.897
38780,45,6.381,6.425
38830,45,6.335,5.441
38880,45,6.234,4.869
38930,45,6.459,6.735
38980,45,6.297,4.419
39030,45,6.208,4.953
39080,45,6.479,6.913
39130,45,6.704,6.978
39180,45,6.571,4.934
39230,45,6.439,4.812
39280,45,6.508,6.247
39330,45,6.442,5.375
39380,45,6.331,4.887
39430,45,6.455,6.383
39480,45,6.305,4.522
39530,45,6.219,4.991
39580,45,6.432,6.664
39630,45,6.280,4.484
39680,45,6.192,4.944
39730,45,6.450,6.838
39780,45,6.658,6.875
39830,45,6.526,4.897
39880,45,6.554,6.153
39930,45,6.602,6.266
39980,45,6.531,5.422
40030,45,6.409,4.869
40080,45,6.559,6.575
40130,45,6.491,5.413
40180,45,6.372,4.859
40230,45,6.598,6.875
40280,45,6.423,4.433
40330,45,6.321,4.948
40380,0,6.563,6.899
40430,0,6.445,4.934
40480,0,6.323,4.784
40530,0,6.207,4.723
40580,0,6.102,4.700
40630,0,6.004,4.672
40680,0,5.915,4.653
40730,0,5.835,4.653
40780,0,5.761,4.634
40830,0,5.691,4.592
40880,0,5.628,4.597
40930,0,5.571,4.578
40980,0,5.521,4.597
41030,0,5.474,4.578
41080,0,5.433,4.578
41130,0,5.395,4.569
41180,0,5.359,4.555
41230,0,5.328,4.564
41280,0,5.301,4.569
41330,0,5.276,4.569
41380,0,5.254,4.569
41430,0,5.232,4.540
41480,0,5.215,4.573
41530,0,5.199,4.564
41580,0,5.183,4.540
41630,0,5.169,4.550
41680,0,5.158,4.569
41730,0,5.148,4.564
41780,0,5.137,4.540
41830,0,5.128,4.555
41880,0,5.121,4.559
41930,0,5.113,4.540
41980,0,5.103,4.522
42030,0,5.097,4.545
42080,0,5.093,4.559
42130,0,5.089,4.555
42180,0,5.082,4.526
42230,0,5.080,4.559
42280,0,5.077,4.550
42330,0,5.075,4.559
42380,0,5.072,4.545
42430,0,5.070,4.550
42480,0,5.066,4.540
42530,0,5.062,4.526
42580,0,5.058,4.517
42630,0,5.056,4.540
42680,0,5.052,4.522
42730,0,5.051,4.540
42780,0,5.053,4.559
42830,0,5.052,4.550
42880,0,5.051,4.540
42930,0,5.051,4.550
42980,0,5.052,4.555
43030,0,5.052,4.555
43080,0,5.051,4.540
43130,0,5.051,4.550
43180,0,5.050,4.545
43230,0,5.048,4.526
